"Vm","activationTime","activeTension","externalStimulusCurrent","ionicCurrent","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.045839,0.0063139,0,0,3.1211e-05,1,0.0050506,0.00472,0.000708,0.005348
0.045839,0.0063489,0,0,3.1238e-05,1,0.005072,0.00474,0.000711,0.005341
0.045839,0.0063838,0,0,3.1265e-05,1,0.0050934,0.00476,0.000714,0.005334
0.045839,0.0064187,0,0,3.1294e-05,1,0.0051148,0.00478,0.000717,0.005327
0.045839,0.0064535,0,0,3.1323e-05,1,0.0051362,0.0048,0.00072,0.00532
0.045839,0.0064882,0,0,3.1298e-05,1,0.0051576,0.00482,0.000723,0.005313
0.04584,0.0065229,0,0,3.1269e-05,1,0.005179,0.00484,0.000726,0.005306
0.04584,0.0065578,0,0,3.1235e-05,1,0.0052004,0.00486,0.000729,0.005299
0.04584,0.0065939,0,0,3.1189e-05,1,0.0052218,0.00488,0.000732,0.005292
0.04584,0.0066299,0,0,3.1145e-05,1,0.0052432,0.0049,0.000735,0.005285
0.04584,0.0066658,0,0,3.113e-05,1,0.0052646,0.00492,0.000738,0.005278
0.04584,0.0067017,0,0,3.1121e-05,1,0.005286,0.00494,0.000741,0.005271
0.04584,0.0067375,0,0,3.1119e-05,1,0.0053074,0.00496,0.000744,0.005264
0.04584,0.0067733,0,0,3.1124e-05,1,0.0053288,0.00498,0.000747,0.005257
0.04584,0.006809,0,0,3.1135e-05,1,0.0053502,0.005,0.00075,0.00525
0.04584,0.0068446,0,0,3.1145e-05,1,0.0053716,0.00502,0.000753,0.005243
0.04584,0.0068802,0,0,3.1157e-05,1,0.005393,0.00504,0.000756,0.005236
0.045841,0.0069157,0,0,3.1172e-05,1,0.0054144,0.00506,0.000759,0.005229
0.045841,0.0069511,0,0,3.119e-05,1,0.0054358,0.00508,0.000762,0.005222
0.045841,0.0069864,0,0,3.121e-05,1,0.0054572,0.0051,0.000765,0.005215
0.045841,0.0070218,0,0,3.1221e-05,1,0.0054786,0.00512,0.000768,0.005208
