time V u1 u2 u3 Iion
0.3887000 0.0000000 2.0830500 0.5879575 0.0000000 -0.0000000
0.3887500 0.0000000 2.0831250 0.5879363 0.0000000 -0.0000000
0.3888000 0.0000000 2.0832000 0.5879152 0.0000000 -0.0000000
0.3888500 0.0000000 2.0832750 0.5878940 0.0000000 -0.0000000
0.3889000 0.0000000 2.0833500 0.5878728 0.0000000 -0.0000000
0.3889500 0.0000000 2.0834250 0.5878517 0.0000000 -0.0000000
0.3890000 0.0000000 2.0835000 0.5878305 0.0000000 -0.0000000
0.3890500 0.0000000 2.0835750 0.5878094 0.0000000 -0.0000000
0.3891000 0.0000000 2.0836500 0.5877882 0.0000000 -0.0000000
0.3891500 0.0000000 2.0837250 0.5877670 0.0000000 -0.0000000
0.3892000 0.0000000 2.0838000 0.5877459 0.0000000 -0.0000000
0.3892500 0.0000000 2.0838750 0.5877247 0.0000000 -0.0000000
0.3893000 0.0000000 2.0839500 0.5877036 0.0000000 -0.0000000
0.3893500 0.0000000 2.0840250 0.5876824 0.0000000 -0.0000000
0.3894000 0.0000000 2.0841000 0.5876613 0.0000000 -0.0000000
